BOULOUPARIS;GNIREP.77;OBS;83.855;;AB-96 a;;BOULOUPARIS;NIVELLEMENT;
BOULOUPARIS;GNIREP.24;OBS;88.23;;AB-96 b;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.25;OBS;88.13;;AB-96 c;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.26;OBS;90.75;;AB-97 bis a;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.27;OBS;90.23;;AB-97 bis b;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.28;OBS;93.2;;AB-98;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.29;OBS;95.48;;AB-98 a;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.30;OBS;107.68;;AB-99;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.72;GRA;;;Aa.l3m3-1;;BOULOUPARIS;NIVELLEMENT;
BOULOUPARIS;GNIREP.46;OBS;74.7;;Aa.l3m3-3;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.47;OBS;83.38;;Aa.l3m3-5;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.48;OBS;84.21;;Aa.l3m3-6;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.49;OBS;91.92;;Aa.l3m3-7;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.50;OBS;110.99;;Aa.l3m3-8;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.52;OBS;64.43;;B.d-1;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.58;ADAP;;;B.d-10;;BOULOUPARIS;NIVELLEMENT;
BOULOUPARIS;GNIREP.59;OBS;77.21;;B.d-12;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.60;ADAP;;;B.d-13;;BOULOUPARIS;NIVELLEMENT;
BOULOUPARIS;GNIREP.61;OBS;82.97;;B.d-14;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.62;OBS;87.64;;B.d-15;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.63;ADAP;;;B.d-16;;BOULOUPARIS;NIVELLEMENT;
BOULOUPARIS;GNIREP.53;OBS;83.52;;B.d-3;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.54;OBS;76.52;;B.d-5;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.55;OBS;85.66;;B.d-7;;BOULOUPARIS;NIVELLEMENT;RCNC
BOULOUPARIS;GNIREP.57;OBS;67.30;;B.d-8;;BOULOUPARIS;NIVELLEMENT;RCNC
BOURAIL;GNIREP.53;ADAP;;;A'B'-148;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.54;GRA;;;A'B'-149;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.56;GRA;;;A'B'-151;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.59;ADAP;;;A'B'-155;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.61;OBS;77.243;;A'B'-155 a;;BOURAIL;NIVELLEMENT;RCNC
BOURAIL;GNIREP.143;ADAP;;;A'B'-156;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.66;GRA;;;A'B'-160;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.144;GRA;;;A'B'-161;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.166;GRA;;;A'B'-177;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.91;GRA;;;A'B'-180;;BOURAIL;NIVELLEMENT;
BOURAIL;GNIREP.167;GRA;;;A'B'-180a;;BOURAIL;NIVELLEMENT;
