IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
DUM_INFRA_GEOREP.162,ADAP,,BF,34- 24,./,DUM_INFRA_GEODESIE,
DUM_INFRA_GEOREP.163,ADAP,,FER CIM,34- 24,a,DUM_INFRA_GEODESIE,
DUM_INFRA_GEOREP.156,OBS,865.36,BF,34- 26,./,DUM_INFRA_GEODESIE,RDNC
DUM_INFRA_GEOREP.157,ADAP,,RB,34- 26,a,DUM_INFRA_GEODESIE,RDNC
DUM_INFRA_GEOREP.158,ADAP,,TAS DE PIERRES,34- 26,b,DUM_INFRA_GEODESIE,RDNC
DUM_INFRA_GEOREP.159,ADAP,,BF,34- 27,./,DUM_INFRA_GEODESIE,
DUM_INFRA_GEOREP.160,ADAP,,BF,34- 27,a,DUM_INFRA_GEODESIE,
DUM_INFRA_GEOREP.161,ADAP,,RB,34- 27,b,DUM_INFRA_GEODESIE,
DUM_INFRA_GEOREP.130,ADAP,,POINCON SUR BETON ROCHER,34-205,./,DUM_INFRA_GEODESIE,
DUM_INFRA_GEOREP.131,ADAP,,RBGM SUR ROCHER,34-205,a,DUM_INFRA_GEODESIE,
DUM_INFRA_GEOREP.124,ADAP,,BF,34-III- 414,./,DUM_INFRA_GEODESIE,
DUM_INFRA_GEOREP.125,ADAP,,BF,34-III- 425,./,DUM_INFRA_GEODESIE,
IDP_INFRA_GEOREP.23,OBS,154.812,BF,38-  1,a,IDP_INFRA_GEODESIE,RRNC
IDP_INFRA_GEOREP.25,ADAP,153.648,,38-  1,c,IDP_INFRA_GEODESIE,RRNC
IDP_INFRA_GEOREP.26,OBS,163.110,RBpm,38-  1,d,IDP_INFRA_GEODESIE,RRNC
IDP_INFRA_GEOREP.27,OBS,153.135,RBpm,38-  1,e,IDP_INFRA_GEODESIE,RRNC
IDP_INFRA_GEOREP.29,OBS,153.747,BALISE AXE BASE,38-  1,g,IDP_INFRA_GEODESIE,RRNC
IDP_INFRA_GEOREP.30,OBS,142.776,BF,38-  1,h,IDP_INFRA_GEODESIE,RRNC
IDP_INFRA_GEOREP.82,ADAP,163.11,ANTENNE AXE BASE,38-  1,i,IDP_INFRA_GEODESIE,RRNC
IDP_INFRA_GEOREP.87,OBS,154.896,RBGM,38-  1,b,IDP_INFRA_GEODESIE,RRNC
IDP_INFRA_GEOREP.31,OBS,321.885,BF,38-  2,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.32,OBS,321.630,BOULON,38-  2,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.33,OBS,313.569,RBpm,38-  2,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.34,OBS,313.579,RBpm,38-  2,d,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.35,OBS,317.3,CALVAIRE AXE SOMMET,38-  2,e,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.89,OBS,321.626,RBpm SUR DALLE,38-  2,f,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.36,OBS,62.366,BF,38-  3,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.37,OBS,60.107,RBGM,38-  3,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.38,OBS,59.949,RBpm,38-  3,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.39,OBS,61.24,BF,38-  5,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.40,OBS,61.11,RBGM SUR ROCHER,38-  5,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.41,OBS,61.71,DOUILLE,38-  5,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.42,OBS,185.86,BF,38-  6,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.43,OBS,185.84,TUBE DANS TAS PIERRES,38-  6,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.44,OBS,185.79,FER CIM,38-  6,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.45,ADAP,165.182,RBGM SUR ROCHER,38-  7,./,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.46,OBS,166.433,RBGM SUR ROCHER,38-  7,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.91,OBS,166.433,BF,38-  7,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.47,OBS,148.822,BF,38-  8,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.48,,84.239,RN,38-  8,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.49,OBS,119.142,BF,38-  9,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.50,OBS,120.113,BF,38-  9,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.51,OBS,124.0,CROIX DU CALVAIRE,38-  9,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.52,OBS,61.764,RBGM,38- 10,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.53,ADAP,63.11,CROIX GRAVEE SUR BITTE WHARF,38- 10,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.54,OBS,61.91,RBpm DANS TUBE,38- 10,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.55,OBS,61.32,RBpm,38- 10,d,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.56,OBS,61.01,RN,38- 10,e,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.57,OBS,91.5,PARATONNERRE,38- 10,f,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.58,OBS,112.887,BF SUR ROCHER,38- 11,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.59,OBS,97.672,RBGM,38- 11,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.60,OBS,103.3,CROIX DU CALVAIRE,38- 11,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.61,OBS,154.569,BF,38- 12,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.62,OBS,150.552,RB SUR SOMMET BORNE NIV,38- 12,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.63,OBS,138.139,BF,38- 13,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.83,OBS,146.221,RBGM,38- 13,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.84,OBS,143.747,RBpm,38- 13,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.85,OBS,,EOLIENNE AXE BASE,38- 13,d,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.64,OBS,62.645,RBGM,38- 14,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.65,OBS,62.401,RBpm,38- 14,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.66,OBS,74.921,BF,38- 15,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.67,OBS,74.926,RBGM,38- 15,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.68,OBS,93.8,PARATONNERRE AXE BASE,38- 15,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.69,OBS,66.538,BF,38- 16,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.70,OBS,67.326,RBGM,38- 16,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.86,OBS,67.524,RBpm,38- 16,d,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.71,OBS,124.048,BF,38- 17,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.72,OBS,89.513,RB SUR SOMMET BORNE NIV,38- 17,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.92,ADAP,116.39,CROIX EGLISE,38- 18,a,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.93,ADAP,127.398,RBpm,38- 18,b,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.94,OBS,77.480,CLOU ARPENTEUR,38- 18,c,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.95,OBS,77.988,RBpm,38- 18,d,IDP_INFRA_GEODESIE,RBNC
IDP_INFRA_GEOREP.73,GRA,,TUBE,38-I  - 401,./,IDP_INFRA_GEODESIE,RDNC
IDP_INFRA_GEOREP.74,GRA,,MAT AXE BASE,38-I  - 401,a,IDP_INFRA_GEODESIE,RDNC
IDP_INFRA_GEOREP.75,OBS,61.06,RN,38-I  - 401,b,IDP_INFRA_GEODESIE,RDNC
IDP_INFRA_GEOREP.76,GRA,,CLOU SUR BITTE BOIS,38-I  - 401,c,IDP_INFRA_GEODESIE,RDNC
IDP_INFRA_GEOREP.77,OBS,,CROIX GRAVEE SUR BITTE,38-I  - 401,d,IDP_INFRA_GEODESIE,RDNC
IDP_INFRA_GEOREP.78,ADAP,,RESERVOIR AXE BOULE,38-I  -5002,./,IDP_INFRA_GEODESIE,
IDP_INFRA_GEOREP.79,ADAP,,CROIX CHAPELLE,38-I  -5003,./,IDP_INFRA_GEODESIE,
IDP_INFRA_GEOREP.80,ADAP,,BORNE BETON LIMITE,38-I  -5003,a,IDP_INFRA_GEODESIE,
IDP_INFRA_GEOREP.81,ADAP,,BORNE BETON LIMITE,38-I  -5003,b,IDP_INFRA_GEODESIE,
FOA_INFRA_GEOREP.16,ADAP,,BF,24- 75,./,FARINO,GEODESIE,
FOA_INFRA_GEOREP.17,ADAP,,TUBE,24- 75,a,FARINO,GEODESIE,
FOA_INFRA_GEOREP.6,ADAP,,BF,24- 76,./,FARINO,GEODESIE,
FOA_INFRA_GEOREP.7,ADAP,,TUBE,24- 76,a,FARINO,GEODESIE,
FOA_INFRA_GEOREP.33,ADAP,,BF,24- 77,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.34,ADAP,,RAIL,24- 77,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.35,ADAP,,TUBE,24- 77,b,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.36,OBS,198.281,BF,24- 78,./,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.37,ADAP,,TUBE,24- 78,b,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.210,ADAP,,BF,24- 79,./,FARINO,GEODESIE,
FOA_INFRA_GEOREP.211,ADAP,,TUBE,24- 79,a,FARINO,GEODESIE,
FOA_INFRA_GEOREP.38,OBS,104.719,BF,24-IV - 420,./,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.39,OBS,104.856,RAIL,24-IV - 420,a,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.232,ADAP,,BF,25-  1,b,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.233,OBS,601.928,BF,25-  4,./,SARRAMEA,GEODESIE,RDNC
FOA_INFRA_GEOREP.234,ADAP,,TUBE,25-  9,./,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.235,ADAP,,BF,25-  9,a,SARRAMEA,GEODESIE,
FOA_INFRA_GEOREP.4,ADAP,,TUBE,25- 13,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.5,ADAP,,BF,25- 13,b,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.190,ADAP,,BF,25- 17,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.191,ADAP,,TUBE,25- 17,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.40,ADAP,,BF,25- 22,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.41,ADAP,,BF,25- 24,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.42,ADAP,,TUBE,25- 24,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.43,ADAP,,BF,25- 25,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.44,ADAP,,TUBE,25- 25,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.45,OBS,256.901,BF,25- 27,./,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.46,ADAP,,TUBE,25- 27,a,FOA_INFRA_GEODESIE,RDNC
FOA_INFRA_GEOREP.47,ADAP,,BF,25- 30,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.48,ADAP,,TUBE,25- 30,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.236,ADAP,,BF,25- 31,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.237,ADAP,,TUBE,25- 31,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.49,ADAP,,BF,25- 33,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.50,ADAP,,TUBE,25- 33,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.51,ADAP,,TUBE,25- 34,a,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.228,ADAP,,BF,25- 34,./,FOA_INFRA_GEODESIE,
FOA_INFRA_GEOREP.229,ADAP,,RBGM,25- 34,b,FOA_INFRA_GEODESIE,
