IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
DUM_INFRA_GPOREP.1,ADAP,,,33-IV -  14,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.2,ADAP,,,33-IV -  16,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.3,ADAP,,,33-IV -1001,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.4,ADAP,,,33-IV -1002,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.5,ADAP,,,33-IV -1003,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.6,ADAP,,,33-IV -1004,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.7,ADAP,,,33-IV -1004,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.8,ADAP,,,33-IV -1005,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.9,ADAP,,,33-IV -1005,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.10,ADAP,,,33-IV -1006,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.11,ADAP,,,33-IV -1006,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.13,,,,33-IV -1007,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.14,ADAP,,,33-IV -1008,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.15,ADAP,,,33-IV -1008,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.16,ADAP,,,33-IV -1009,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.17,ADAP,,,33-IV -1010,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.18,ADAP,,,33-IV -1010,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.12,ADAP,,,33-IV -1011,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.41,ADAP,,,33-IV -1012,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.19,ADAP,,,33-IV -1013,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.20,ADAP,,,33-IV -1014,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.42,ADAP,,,33-IV -1014,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.43,ADAP,,,33-IV -1014,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.44,ADAP,,,33-IV -1014,c,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.45,ADAP,,,33-IV -1014,d,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.46,ADAP,,,33-IV -1014,e,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.61,OBS,,,33-IV -1016,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.62,OBS,,,33-IV -1016,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.21,,,,33-IV -1021,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.22,,,,33-IV -1022,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.23,,,,33-IV -1023,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.24,ADAP,,,33-IV -1024,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.25,ADAP,,,33-IV -1025,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.26,ADAP,,,33-IV -1026,./,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.27,,,,33-IV -1026,a,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.28,ADAP,,,33-IV -1026,b,DUM_INFRA_POLYGONATION,
DUM_INFRA_GPOREP.29,ADAP,,,33-IV -1027,./,DUM_INFRA_POLYGONATION,
